Lower layer Super Output Areas Code,Lower layer Super Output Areas,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E01000191,Barnet 014F,1,Household is not deprived in any dimension,289
E01000191,Barnet 014F,2,Household is deprived in one dimension,172
E01000191,Barnet 014F,3,Household is deprived in two dimensions,87
E01000191,Barnet 014F,4,Household is deprived in three dimensions,6
E01000191,Barnet 014F,5,Household is deprived in four dimensions,2
E01000192,Barnet 018A,-8,Does not apply,0
E01000192,Barnet 018A,1,Household is not deprived in any dimension,311
E01000192,Barnet 018A,2,Household is deprived in one dimension,266
E01000192,Barnet 018A,3,Household is deprived in two dimensions,106
E01000192,Barnet 018A,4,Household is deprived in three dimensions,14
E01000192,Barnet 018A,5,Household is deprived in four dimensions,9
E01000193,Barnet 018B,-8,Does not apply,0
E01000193,Barnet 018B,1,Household is not deprived in any dimension,309
E01000193,Barnet 018B,2,Household is deprived in one dimension,253
E01000193,Barnet 018B,3,Household is deprived in two dimensions,125
E01000193,Barnet 018B,4,Household is deprived in three dimensions,18
E01000193,Barnet 018B,5,Household is deprived in four dimensions,6
E01000194,Barnet 018C,-8,Does not apply,0
E01000194,Barnet 018C,1,Household is not deprived in any dimension,303
E01000194,Barnet 018C,2,Household is deprived in one dimension,258
E01000194,Barnet 018C,3,Household is deprived in two dimensions,109
E01000194,Barnet 018C,4,Household is deprived in three dimensions,34
E01000194,Barnet 018C,5,Household is deprived in four dimensions,3
E01000195,Barnet 013A,-8,Does not apply,0
E01000195,Barnet 013A,1,Household is not deprived in any dimension,261
E01000195,Barnet 013A,2,Household is deprived in one dimension,266
E01000195,Barnet 013A,3,Household is deprived in two dimensions,137
E01000195,Barnet 013A,4,Household is deprived in three dimensions,55
E01000195,Barnet 013A,5,Household is deprived in four dimensions,0
E01000196,Barnet 028A,-8,Does not apply,0
E01000196,Barnet 028A,1,Household is not deprived in any dimension,473
E01000196,Barnet 028A,2,Household is deprived in one dimension,377
E01000196,Barnet 028A,3,Household is deprived in two dimensions,172
E01000196,Barnet 028A,4,Household is deprived in three dimensions,59
E01000196,Barnet 028A,5,Household is deprived in four dimensions,10
E01000197,Barnet 023A,-8,Does not apply,0
E01000197,Barnet 023A,1,Household is not deprived in any dimension,357
