"Address"	Latitude	Longitude	Easting	Northing
"EN5 2HE (8)"	51.65209	-0.19866	524715	196347
"NW7 2JP"	51.611623	-0.246455	521517	191766
"N3 3BD"	51.591051	-0.192056	525340	189570
"NW9 7AT"	51.574594	-0.238352	522177	187662
"NW4 2AD"	51.58632	-0.219035	523484	188998
"NW11 7ET (2)"	51.578909	-0.197171	525019	188211
"EN4 8RW"	51.649909	-0.174248	526410	196146
"N11 1HN"	51.622604	-0.148748	528251	193154
"N20 0TN"	51.629382	-0.161415	527355	193886
"NW2 3LL"	51.555923	-0.212405	524026	185629
"N3 3HP (2)"	51.596519	-0.19796	524916	190168
"NW11 9BN"	51.574863	-0.203273	524607	187751
"N2 0NJ (3)"	51.589846	-0.169637	526896	189475
"N3 3BD"	51.591051	-0.192056	525340	189570
"N3 3BD"	51.591051	-0.192056	525340	189570
"NW11 9EJ"	51.573361	-0.210725	524095	187571
"N3 1PD"	51.607674	-0.191251	525350	191420
"NW11 0PU (2)"	51.580523	-0.19885	524898	188388
"NW9 5DL (4)"	51.592111	-0.257034	520836	189579
"NW2 2AL"	51.56651	-0.200216	524842	186827
"HA8 9EY"	51.609649	-0.26005	520581	191524
"NW2 2AP (2)"	51.565482	-0.1979	525005	186717
"NW7 2JP"	51.611623	-0.246455	521517	191766
"EN5 4LS"	51.65646	-0.202524	524436	196826
"NW2 1AH"	51.569708	-0.219075	523526	187151
"N3 1QR (2)"	51.604487	-0.190439	525415	191067
"N3 1SN"	51.597906	-0.203955	524497	190312
"NW7 2PG"	51.611147	-0.221386	523254	191755
"NW4 4SH"	51.589324	-0.236598	522259	189303
"NW11 8EL"	51.57225	-0.198296	524959	187469
"N3 2PR"	51.604533	-0.188156	525573	191076
"EN5 2HE"	51.65209	-0.19866	524715	196347
"NW11 8LX"	51.570421	-0.195699	525144	187270
"NW4 2AD"	51.58632	-0.219035	523484	188998
"NW9 5DL"	51.592111	-0.257034	520836	189579
"NW4 1BU"	51.590572	-0.220367	523380	189469
"NW4 3SX"	51.580397	-0.237091	522249	188309
"N2 8AB"	51.589082	-0.164316	527267	189399
"N12 9AX"	51.613783	-0.161384	527401	192151
"NW2 1DA"	51.56822	-0.221153	523386	186982
"EN5 5JG (2)"	51.650812	-0.178577	526108	196239
"EN4 8RW"	51.649909	-0.174248	526410	196146
"NW4 2JT"	51.588442	-0.211572	523995	189247
"N12 9EA"	51.614794	-0.172537	526626	192244
"EN5 2HE"	51.65209	-0.19866	524715	196347
"NW4 1BT"	51.590361	-0.220721	523356	189445
"NW11 9BL"	51.573962	-0.204362	524534	187649
"NW7 3SP"	51.61824	-0.258662	520654	192482
"NW11 7ES"	51.579645	-0.198509	524924	188291
"NW2 1DN"	51.566774	-0.219309	523518	186824
"HA8 8EA"	51.617417	-0.284001	518902	192349
"NW4 4SH"	51.589324	-0.236598	522259	189303
"NW11 7RL"	51.571016	-0.189947	525541	187346
"EN5 2EE (2)"	51.647491	-0.194668	525004	195842
"NW11 9HS (3)"	51.579453	-0.209778	524144	188250
"EN5 3EA"	51.648275	-0.219727	523268	195887
"N12 0NL"	51.611852	-0.175313	526442	191912
"EN5 4BY"	51.653042	-0.211546	523821	196431
"N12 7EA"	51.62237	-0.183848	525822	193067
"EN5 2HE"	51.65209	-0.19866	524715	196347
"HA8 0LF"	51.601782	-0.265833	520201	190640
"NW4 1DA (3)"	51.590895	-0.213237	523873	189517
"NW2 1PL"	51.565805	-0.21587	523759	186722
